title,link,snippet
TCGPN: Temporal-Correlation Graph Pre-trained Network for Stock Forecasting,https://arxiv.org/abs/2407.18519,"Recently, the incorporation of both temporal features and the correlation across time series has become an effective approach in time series prediction. Spatio-Temporal Graph Neural …"
GA2T: A traffic flow prediction model combined with graph attention networks,https://www.jcad.cn/en/article/doi/10.3724/SP.J.1089.2023.19758,"Traffic flow prediction is the core component of the intelligent transportation system. In view of the low accuracy of the current traffic flow prediction methods, a new traffic flow prediction …"
Graph2RETA: Graph Neural Networks for Pick-up and Delivery Route Prediction and Arrival Time Estimation,https://link.springer.com/chapter/10.1007/978-3-031-70893-0_17,This research proposes an effective way to address the issues faced by pick-up and delivery services. The real-world variables that affect delivery routes are frequently overlooked by …
Long-term traffic flow estimation: a hybrid approach using location-basedtraffic characteristic,https://journals.tubitak.gov.tr/elektrik/vol30/iss3/7/,"Traffic speed estimation plays a key role in various situations, ranging from individual's trip planning to urban traffic management. Despite many studies on short-term prediction, there …"
Graph neural networks for traffic pattern recognition: An overview,https://ieeexplore.ieee.org/abstract/document/10112264/,This survey aims to provide an overview of the recent developments and applications of Graph Neural Networks (GNNs) in the field of traffic patterns recognition. The focus is on the …
Spatial-temporal traffic congestion prediction based on attention mechanism,https://ieeexplore.ieee.org/abstract/document/9661133/,"Accurate traffic flow prediction is of great significance for intelligent transportation system in intelligent city. For the problem of traffic congestion, accurate prediction of traffic congestion …"
Spatial-temporal correlated graph neural networks based on neighborhood feature selection for traffic data prediction,https://link.springer.com/article/10.1007/s10489-022-03753-4,Prediction as a new frontier has begun to come into focus which has been widely used in traffic management and statistics. Because of traffic time series data possesses both spatial …
基于机器学习的交通流预测方法综述,https://transport.chd.edu.cn/article/doi/10.19818/j.cnki.1671-1637.2023.03.003,"通过文献梳理, 专家访谈和试验场景构建等方法, 分析了道路指定断面和区域路网宏观交通流预测的国内外研究现状和发展趋势, 归纳了局部断面交通流预测方法, 包括传统机器学习 …"
A Real Time Traffic Flow Model Based on Deep Learning.,"https://itiis.org/journals/tiis/digital-library/manuscript/file/25903/TIIS%20Vol%2016,%20No%208-1.pdf","Urban development has brought about the increasing saturation of urban traffic demand, and traffic congestion has become the primary problem in transportation. Roads are in a …"
Anomaly detection in cryptocurrency networks and beyond,https://search.proquest.com/openview/0bd12ac4da425079e49509d0c3a93f07/1?pq-origsite=gscholar&cbl=18750&diss=y,"Cryptocurrency networks that provide a new way of securing financial transactions have gained a surge of interest in recent years. However, recent studies reveal that blockchain …"
Time-series Decomposition and Augmented Self-rescaling Graph Neural Network for Traffic Forecasting,https://ieeexplore.ieee.org/abstract/document/10405011/,"With the rapid development of urbanization, traffic forecasting has become a critical issue of intelligent transportation system (ITS). Recently, a large number of traffic forecasting …"
What does the gradient tell when attacking the graph structure,https://arxiv.org/abs/2208.12815,Recent research has revealed that Graph Neural Networks (GNNs) are susceptible to adversarial attacks targeting the graph structure. A malicious attacker can manipulate a …
Causal-Based Spatio-Temporal Graph Neural Networks for Industrial Internet of Things Multivariate Time Series Forecasting,https://link.springer.com/chapter/10.1007/978-3-031-44070-0_6,"Spatio-temporal data forecasting is a challenging task, especially in the context of the Internet of Things (IoT), due to the complicated spatial dependencies and dynamic trends of …"
TVGCN: Time-varying graph convolutional networks for multivariate and multifeature spatiotemporal series prediction,https://journals.sagepub.com/doi/abs/10.1177/00368504241283315,Spatiotemporal (ST) graph modeling has garnered increasing attention recently. Most existing methods rely on a predefined graph structure or construct a single learnable graph …
